source=/mnt/e/currentWORK/AAA_Project/P3/data/processed/manifest.csv
file_type=.csv

set,instance,customers,omega,alpha,seed,out
A,convrp_10_test_1,10,100,0.2,4283941245,data/processed/omega100/A/convrp_10_test_1__omega100__alpha20.json
A,convrp_10_test_1,10,100,0.5,2013785276,data/processed/omega100/A/convrp_10_test_1__omega100__alpha50.json
A,convrp_10_test_1,10,100,0.8,936950256,data/processed/omega100/A/convrp_10_test_1__omega100__alpha80.json
A,convrp_10_test_1,10,500,0.2,4236088964,data/processed/omega500/A/convrp_10_test_1__omega500__alpha20.json
A,convrp_10_test_1,10,500,0.5,2520293378,data/processed/omega500/A/convrp_10_test_1__omega500__alpha50.json
A,convrp_10_test_1,10,500,0.8,1120958,data/processed/omega500/A/convrp_10_test_1__omega500__alpha80.json
A,convrp_10_test_2,10,100,0.2,320850893,data/processed/omega100/A/convrp_10_test_2__omega100__alpha20.json
A,convrp_10_test_2,10,100,0.5,3935048625,data/processed/omega100/A/convrp_10_test_2__omega100__alpha50.json
A,convrp_10_test_2,10,100,0.8,1813181970,data/processed/omega100/A/convrp_10_test_2__omega100__alpha80.json
A,convrp_10_test_2,10,500,0.2,3087341656,data/processed/omega500/A/convrp_10_test_2__omega500__alpha20.json
A,convrp_10_test_2,10,500,0.5,30962321,data/processed/omega500/A/convrp_10_test_2__omega500__alpha50.json
A,convrp_10_test_2,10,500,0.8,2398906370,data/processed/omega500/A/convrp_10_test_2__omega500__alpha80.json
A,convrp_10_test_3,10,100,0.2,3035397752,data/processed/omega100/A/convrp_10_test_3__omega100__alpha20.json
A,convrp_10_test_3,10,100,0.5,2343326085,data/processed/omega100/A/convrp_10_test_3__omega100__alpha50.json
A,convrp_10_test_3,10,100,0.8,3494876348,data/processed/omega100/A/convrp_10_test_3__omega100__alpha80.json
A,convrp_10_test_3,10,500,0.2,263303092,data/processed/omega500/A/convrp_10_test_3__omega500__alpha20.json
A,convrp_10_test_3,10,500,0.5,2322932410,data/processed/omega500/A/convrp_10_test_3__omega500__alpha50.json
A,convrp_10_test_3,10,500,0.8,854576937,data/processed/omega500/A/convrp_10_test_3__omega500__alpha80.json
A,convrp_10_test_4,10,100,0.2,2133109791,data/processed/omega100/A/convrp_10_test_4__omega100__alpha20.json
A,convrp_10_test_4,10,100,0.5,2171260830,data/processed/omega100/A/convrp_10_test_4__omega100__alpha50.json
A,convrp_10_test_4,10,100,0.8,2542285862,data/processed/omega100/A/convrp_10_test_4__omega100__alpha80.json
A,convrp_10_test_4,10,500,0.2,1699302950,data/processed/omega500/A/convrp_10_test_4__omega500__alpha20.json
A,convrp_10_test_4,10,500,0.5,2675993506,data/processed/omega500/A/convrp_10_test_4__omega500__alpha50.json
A,convrp_10_test_4,10,500,0.8,3924056012,data/processed/omega500/A/convrp_10_test_4__omega500__alpha80.json
A,convrp_10_test_5,10,100,0.2,2290315920,data/processed/omega100/A/convrp_10_test_5__omega100__alpha20.json
A,convrp_10_test_5,10,100,0.5,3096772064,data/processed/omega100/A/convrp_10_test_5__omega100__alpha50.json
A,convrp_10_test_5,10,100,0.8,3912748729,data/processed/omega100/A/convrp_10_test_5__omega100__alpha80.json
A,convrp_10_test_5,10,500,0.2,3631852599,data/processed/omega500/A/convrp_10_test_5__omega500__alpha20.json
A,convrp_10_test_5,10,500,0.5,3142867069,data/processed/omega500/A/convrp_10_test_5__omega500__alpha50.json
A,convrp_10_test_5,10,500,0.8,801680480,data/processed/omega500/A/convrp_10_test_5__omega500__alpha80.json
A,convrp_12_test_1,12,100,0.2,1578478146,data/processed/omega100/A/convrp_12_test_1__omega100__alpha20.json
A,convrp_12_test_1,12,100,0.5,2652958721,data/processed/omega100/A/convrp_12_test_1__omega100__alpha50.json
A,convrp_12_test_1,12,100,0.8,2539649229,data/processed/omega100/A/convrp_12_test_1__omega100__alpha80.json
A,convrp_12_test_1,12,500,0.2,360376631,data/processed/omega500/A/convrp_12_test_1__omega500__alpha20.json
A,convrp_12_test_1,12,500,0.5,481016109,data/processed/omega500/A/convrp_12_test_1__omega500__alpha50.json
