set,omega,alpha,records,base_instances,min_customers,max_customers,min_vehicles,max_vehicles
A,100,0.2,10,10,10,12,2,2
A,100,0.5,10,10,10,12,2,3
A,100,0.8,10,10,10,12,3,3
A,500,0.2,10,10,10,12,2,2
A,500,0.5,10,10,10,12,2,3
A,500,0.8,10,10,10,12,3,3
B,100,0.2,7,7,50,100,3,7
B,100,0.5,7,7,50,100,6,13
B,100,0.8,7,7,50,100,9,18
B,500,0.2,7,7,50,100,4,9
B,500,0.5,7,7,50,100,7,14
B,500,0.8,7,7,50,100,9,19
D,100,0.2,6,6,19,30,2,3
D,100,0.5,6,6,19,30,2,6
D,100,0.8,6,6,19,30,2,8
D,500,0.2,6,6,19,30,2,3
D,500,0.5,6,6,19,30,2,7
D,500,0.8,6,6,19,30,2,9
