row_key,method,metric,paper_value
probability=20,ALL,number_of_instances,46
probability=50,ALL,number_of_instances,46
probability=80,ALL,number_of_instances,46
probability=total,ALL,number_of_instances,138
probability=20,BC,number_of_optimal,31
probability=50,BC,number_of_optimal,16
probability=80,BC,number_of_optimal,0
probability=total,BC,number_of_optimal,47
probability=20,BD,number_of_optimal,30
probability=50,BD,number_of_optimal,16
probability=80,BD,number_of_optimal,0
probability=total,BD,number_of_optimal,46
probability=20,SAA-BC,number_of_optimal,30
probability=50,SAA-BC,number_of_optimal,11
probability=80,SAA-BC,number_of_optimal,0
probability=total,SAA-BC,number_of_optimal,41
probability=20,SAA-BD,number_of_optimal,30
probability=50,SAA-BD,number_of_optimal,14
probability=80,SAA-BD,number_of_optimal,0
probability=total,SAA-BD,number_of_optimal,44
probability=20,BC,total_cost,184.56
probability=50,BC,total_cost,1310.1
probability=80,BC,total_cost,2833.0
probability=total,BC,total_cost,1442.55
probability=20,BD,total_cost,171.32
probability=50,BD,total_cost,395.91
probability=80,BD,total_cost,588.29
probability=total,BD,total_cost,385.17
probability=20,SAA-BC,total_cost,154.88
probability=50,SAA-BC,total_cost,257.83
probability=80,SAA-BC,total_cost,346.32
probability=total,SAA-BC,total_cost,253.01
probability=20,SAA-BD,total_cost,164.08
probability=50,SAA-BD,total_cost,354.17
probability=80,SAA-BD,total_cost,501.29
probability=total,SAA-BD,total_cost,339.84
probability=20,BC,gap_to_best_percent,8.5
probability=50,BC,gap_to_best_percent,160.44
probability=80,BC,gap_to_best_percent,300.63
probability=total,BC,gap_to_best_percent,156.52
probability=20,BD,gap_to_best_percent,6.43
probability=50,BD,gap_to_best_percent,24.78
probability=80,BD,gap_to_best_percent,36.23
probability=total,BD,gap_to_best_percent,22.48
probability=20,SAA-BC,gap_to_best_percent,2.24
probability=50,SAA-BC,gap_to_best_percent,0.21
probability=80,SAA-BC,gap_to_best_percent,0.11
probability=total,SAA-BC,gap_to_best_percent,0.85
probability=20,SAA-BD,gap_to_best_percent,4.74
probability=50,SAA-BD,gap_to_best_percent,16.14
probability=80,SAA-BD,gap_to_best_percent,21.19
probability=total,SAA-BD,gap_to_best_percent,14.02
probability=20,BC,total_time_seconds,12037
probability=50,BC,total_time_seconds,23952
probability=80,BC,total_time_seconds,35838
probability=total,BC,total_time_seconds,23942.39
probability=20,BD,total_time_seconds,31352
probability=50,BD,total_time_seconds,32130
probability=80,BD,total_time_seconds,32823
probability=total,BD,total_time_seconds,32101.51
probability=20,SAA-BC,total_time_seconds,7905
probability=50,SAA-BC,total_time_seconds,14385
probability=80,SAA-BC,total_time_seconds,23499
probability=total,SAA-BC,total_time_seconds,15262.93
probability=20,SAA-BD,total_time_seconds,33502
probability=50,SAA-BD,total_time_seconds,36072
probability=80,SAA-BD,total_time_seconds,36090
probability=total,SAA-BD,total_time_seconds,35221.36
probability=20,BC,time_to_best_seconds,4098
probability=50,BC,time_to_best_seconds,6550
probability=80,BC,time_to_best_seconds,7406
probability=total,BC,time_to_best_seconds,6017.92
probability=20,BD,time_to_best_seconds,3145
probability=50,BD,time_to_best_seconds,5224
probability=80,BD,time_to_best_seconds,6940
probability=total,BD,time_to_best_seconds,5103.41
probability=20,SAA-BC,time_to_best_seconds,5049
probability=50,SAA-BC,time_to_best_seconds,7383
probability=80,SAA-BC,time_to_best_seconds,9003
probability=total,SAA-BC,time_to_best_seconds,7145.02
probability=20,SAA-BD,time_to_best_seconds,6731
probability=50,SAA-BD,time_to_best_seconds,7923
probability=80,SAA-BD,time_to_best_seconds,9500
probability=total,SAA-BD,time_to_best_seconds,8051.56
