row_key,method,metric,paper_value
omega=100;set=A,ALL,number_of_instances,30
omega=100;set=A,BC,gap_to_best_percent,0.26
omega=100;set=A,BD,gap_to_best_percent,0.75
omega=100;set=A,SAA-BC,gap_to_best_percent,0.2
omega=100;set=A,SAA-BD,gap_to_best_percent,0.02
omega=100;set=B,ALL,number_of_instances,21
omega=100;set=B,BC,gap_to_best_percent,393.69
omega=100;set=B,BD,gap_to_best_percent,58.15
omega=100;set=B,SAA-BC,gap_to_best_percent,4.23
omega=100;set=B,SAA-BD,gap_to_best_percent,42.25
omega=100;set=D,ALL,number_of_instances,18
omega=100;set=D,BC,gap_to_best_percent,0.83
omega=100;set=D,BD,gap_to_best_percent,12.31
omega=100;set=D,SAA-BC,gap_to_best_percent,0.29
omega=100;set=D,SAA-BD,gap_to_best_percent,7.09
omega=500;set=A,ALL,number_of_instances,30
omega=500;set=A,BC,gap_to_best_percent,0.74
omega=500;set=A,BD,gap_to_best_percent,2.47
omega=500;set=A,SAA-BC,gap_to_best_percent,0.16
omega=500;set=A,SAA-BD,gap_to_best_percent,0.09
omega=500;set=B,ALL,number_of_instances,21
omega=500;set=B,BC,gap_to_best_percent,582.16
omega=500;set=B,BD,gap_to_best_percent,58.26
omega=500;set=B,SAA-BC,gap_to_best_percent,0.37
omega=500;set=B,SAA-BD,gap_to_best_percent,37.25
omega=500;set=D,ALL,number_of_instances,18
omega=500;set=D,BC,gap_to_best_percent,59.02
omega=500;set=D,BD,gap_to_best_percent,18.86
omega=500;set=D,SAA-BC,gap_to_best_percent,0.27
omega=500;set=D,SAA-BD,gap_to_best_percent,7.48
total,ALL,number_of_instances,138
total,BC,gap_to_best_percent,156.52
total,BD,gap_to_best_percent,22.48
total,SAA-BC,gap_to_best_percent,0.85
total,SAA-BD,gap_to_best_percent,14.02
