row_key,method,metric,paper_value
omega=100;alpha=20,SAA-BC,number_of_instances,23
omega=100;alpha=20,SAA-BC,total_cost,152.99
omega=100;alpha=20,SAA-BC,travel_cost_percent,96.55
omega=100;alpha=20,SAA-BC,consistency_penalty_percent,0.07
omega=100;alpha=20,SAA-BC,skipping_cost_percent,3.38
omega=100;alpha=20,SAA-BC,number_of_clusters,1.7
omega=100;alpha=20,SAA-BC,violation_level,0.19
omega=100;alpha=20,SAA-BC,skipped_customers_percent,0.98
omega=100;alpha=50,SAA-BC,number_of_instances,23
omega=100;alpha=50,SAA-BC,total_cost,257.7
omega=100;alpha=50,SAA-BC,travel_cost_percent,92.08
omega=100;alpha=50,SAA-BC,consistency_penalty_percent,1.93
omega=100;alpha=50,SAA-BC,skipping_cost_percent,5.99
omega=100;alpha=50,SAA-BC,number_of_clusters,3.04
omega=100;alpha=50,SAA-BC,violation_level,5.82
omega=100;alpha=50,SAA-BC,skipped_customers_percent,1.33
omega=100;alpha=80,SAA-BC,number_of_instances,23
omega=100;alpha=80,SAA-BC,total_cost,341.33
omega=100;alpha=80,SAA-BC,travel_cost_percent,93.08
omega=100;alpha=80,SAA-BC,consistency_penalty_percent,4.15
omega=100;alpha=80,SAA-BC,skipping_cost_percent,2.77
omega=100;alpha=80,SAA-BC,number_of_clusters,4.04
omega=100;alpha=80,SAA-BC,violation_level,16.7
omega=100;alpha=80,SAA-BC,skipped_customers_percent,0.44
omega=500;alpha=20,SAA-BC,number_of_instances,23
omega=500;alpha=20,SAA-BC,total_cost,156.77
omega=500;alpha=20,SAA-BC,travel_cost_percent,95.95
omega=500;alpha=20,SAA-BC,consistency_penalty_percent,0.24
omega=500;alpha=20,SAA-BC,skipping_cost_percent,3.81
omega=500;alpha=20,SAA-BC,number_of_clusters,1.74
omega=500;alpha=20,SAA-BC,violation_level,0.36
omega=500;alpha=20,SAA-BC,skipped_customers_percent,1.14
omega=500;alpha=50,SAA-BC,number_of_instances,23
omega=500;alpha=50,SAA-BC,total_cost,257.97
omega=500;alpha=50,SAA-BC,travel_cost_percent,91.86
omega=500;alpha=50,SAA-BC,consistency_penalty_percent,1.93
omega=500;alpha=50,SAA-BC,skipping_cost_percent,6.21
omega=500;alpha=50,SAA-BC,number_of_clusters,3.26
omega=500;alpha=50,SAA-BC,violation_level,6.87
omega=500;alpha=50,SAA-BC,skipped_customers_percent,1.27
omega=500;alpha=80,SAA-BC,number_of_instances,23
omega=500;alpha=80,SAA-BC,total_cost,351.31
omega=500;alpha=80,SAA-BC,travel_cost_percent,92.32
omega=500;alpha=80,SAA-BC,consistency_penalty_percent,3.28
omega=500;alpha=80,SAA-BC,skipping_cost_percent,4.41
omega=500;alpha=80,SAA-BC,number_of_clusters,4.3
omega=500;alpha=80,SAA-BC,violation_level,14.27
omega=500;alpha=80,SAA-BC,skipped_customers_percent,0.72
total,SAA-BC,number_of_instances,138
total,SAA-BC,total_cost,253.01
total,SAA-BC,travel_cost_percent,93.64
total,SAA-BC,consistency_penalty_percent,1.93
total,SAA-BC,skipping_cost_percent,4.43
total,SAA-BC,number_of_clusters,3.01
total,SAA-BC,violation_level,7.37
total,SAA-BC,skipped_customers_percent,0.98
