table_name,row_key,method,metric,paper_value,our_value,diff_abs,diff_pct,status,notes
table_2_gap_by_omega_and_set,omega=100;set=A,ALL,number_of_instances,30,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=A,BC,gap_to_best_percent,0.26,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=A,BD,gap_to_best_percent,0.75,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=A,SAA-BC,gap_to_best_percent,0.2,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=A,SAA-BD,gap_to_best_percent,0.02,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=B,ALL,number_of_instances,21,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=B,BC,gap_to_best_percent,393.69,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=B,BD,gap_to_best_percent,58.15,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=B,SAA-BC,gap_to_best_percent,4.23,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=B,SAA-BD,gap_to_best_percent,42.25,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=D,ALL,number_of_instances,18,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=D,BC,gap_to_best_percent,0.83,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=D,BD,gap_to_best_percent,12.31,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=D,SAA-BC,gap_to_best_percent,0.29,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=100;set=D,SAA-BD,gap_to_best_percent,7.09,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=A,ALL,number_of_instances,30,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=A,BC,gap_to_best_percent,0.74,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=A,BD,gap_to_best_percent,2.47,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=A,SAA-BC,gap_to_best_percent,0.16,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=A,SAA-BD,gap_to_best_percent,0.09,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=B,ALL,number_of_instances,21,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=B,BC,gap_to_best_percent,582.16,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=B,BD,gap_to_best_percent,58.26,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=B,SAA-BC,gap_to_best_percent,0.37,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=B,SAA-BD,gap_to_best_percent,37.25,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=D,ALL,number_of_instances,18,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=D,BC,gap_to_best_percent,59.02,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=D,BD,gap_to_best_percent,18.86,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=D,SAA-BC,gap_to_best_percent,0.27,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,omega=500;set=D,SAA-BD,gap_to_best_percent,7.48,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,total,ALL,number_of_instances,138,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,total,BC,gap_to_best_percent,156.52,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,total,BD,gap_to_best_percent,22.48,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,total,SAA-BC,gap_to_best_percent,0.85,,,,not_run,full experiment raw result not available yet
table_2_gap_by_omega_and_set,total,SAA-BD,gap_to_best_percent,14.02,,,,not_run,full experiment raw result not available yet
